Index,Compound name,Q_R-,Q_R+,Q_T,Q_AFE_(A),Q_AFE_(O),CD_(2D),CD_(3D),target_label
Comp_0,AgCrMnNiO6_R,0,2.1464,1.5651,5.31165,0,0,0.17775,2
Comp_1,BaCeMnNiO6_C,0.00487,0.25501,0,1.18514,0,0.25479,0,0
Comp_2,BaCeMnNiO6_L,0,0.82939,0.7138,0.726945,0.80275,0.00593,0,1
Comp_3,BaCeMnNiO6_R,0,0.6697,1.3384,0.36965,0,0,0.1274,2
Comp_4,BaHfMnNiO6_L,0,1.49716,0.87948,0.414095,1.16537,0.07588,0,1
Comp_5,BaHfMnNiO6_R,0,1.7417,1.0197,5.22025,0,0,0.16965,2
Comp_6,BaPbMnNiO6_R,0,1.3724,0.8211,5.30005,0,0,0.14735,2
Comp_7,BaSmMnNiO6_L,0,0.11138,0.62849,0.192155,0.65551,0.0053,0,1
Comp_8,BaSnMnNiO6_C,0.05904,0.05805,0,0.88165,0,0.219855,0,0
Comp_9,BaSnMnNiO6_L,0,1.38982,1.53996,0.53078,1.41731,0.06669,0,1
Comp_10,BaSnMnNiO6_R,0,1.7362,0.9358,5.2985,0,0,0.16465,2
Comp_11,BaTbMnNiO6_R,0,0.5788,1.2246,0.3366,0,0,0.1248,2
Comp_12,BaZrMnNiO6_R,0,0.5787,1.9035,0.5125,0,0,0.13865,2
Comp_13,BiCaMnNiO6_C,0.04659,1.01354,0,2.07243,0,0.15859,0,0
Comp_14,BiCaMnNiO6_L,0,1.18067,1.40131,0.907785,0.35108,0.04243,0,1
Comp_15,BiMgMnNiO6_C,0.05782,1.3048,0,2.05444,0,0.1589,0,0
Comp_16,BiSnMnNiO6_C,0.32991,1.34947,0,2.10649,0,0.351335,0,0
Comp_17,BiSnMnNiO6_L,0,1.23893,1.66479,0.806725,0.43029,0.07583,0,1
Comp_18,BiZnMnNiO6_C,0.04395,1.44995,0,1.94512,0,0.170565,0,0
Comp_19,BiZnMnNiO6_L,0,1.45737,1.70766,0.89642,0.37407,0.03648,0,1
Comp_20,CaCeMnNiO6_R,0,1.1255,1.5566,5.3339,0,0,0.13095,2
Comp_21,CaDyMnNiO6_C,0.03466,1.07779,0,1.67411,0,0.128915,0,0
Comp_22,CaGdMnNiO6_L,0,1.03383,1.37184,0.817075,0.27114,0.02326,0,1
Comp_23,CaHfMnNiO6_C,0.09848,1.24873,0,2.27508,0,0.235705,0,0
Comp_24,CaHfMnNiO6_L,0,1.56366,1.67844,0.87861,0.71871,0.08925,0,1
Comp_25,CaSmMnNiO6_C,0.01414,0.94089,0,1.46462,0,0.11298,0,0
Comp_26,CaSmMnNiO6_L,0,0.93819,1.31386,0.73297,0.25311,0.01514,0,1
Comp_27,CaSnMnNiO6_L,0,1.4982,1.66044,0.04123,0.61115,0.07166,0,1
Comp_28,CaTbMnNiO6_R,0,1.0728,1.4453,5.31475,0,0,0.118,2
Comp_29,CaZrMnNiO6_C,0.09068,1.22722,0,2.18603,0,0.21545,0,0
Comp_30,CaZrMnNiO6_L,0,1.50649,1.64266,0.888215,0.64512,0.09031,0,1
Comp_31,CdCeMnNiO6_R,0,1.1585,1.6085,5.32325,0,0,0.133,2
Comp_32,CdHfMnNiO6_C,0.07731,1.25934,0,2.2616,0,0.24832,0,0
Comp_33,CdHfMnNiO6_R,0,1.2598,2.0846,5.32435,0,0,0.13145,2
Comp_34,CdPbMnNiO6_C,0.05115,1.05626,0,2.02348,0,0.171665,0,0
Comp_35,CdTbMnNiO6_R,0,1.1485,1.5403,5.6036,0,0,0.1238,2
Comp_36,GdMgMnNiO6_C,0.00023,0.41814,0,0.30153,0,0.081665,0,0
Comp_37,GdSnMnNiO6_C,0.24911,1.46628,0,2.30205,0,0.284435,0,0
Comp_38,GdSnMnNiO6_L,0,1.21135,1.78493,0.95133,0.26845,0.05997,0,1
Comp_39,GdSrMnNiO6_C,0.03392,0.76461,0,1.29212,0,0.15623,0,0
Comp_40,HgCeMnNiO6_C,0.01572,1.13613,0,1.54128,0,0.211725,0,0
