Index,Compound name,A site,A'site,B site,B'site,C_A,C_A',Cn_A,Cn_A',C_B,C_B',Cn_B,Cn_B',r_Asite,r_A'site,r_Bsite,r_B'site,Avg_AA',Avg_BB',TF,Fermi_energy,_cellength_a,_cellength_b,_cellength_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,space_groupS,Space_group_NoS,space_group_HS,Space_group_No_HS,Total_mag_Outcar,mag_B,mag_B',mag_O,A_s,A_p,A_d,A'_s,A'_p,A'_d,B_s,B_p,B_d,B'_s,B'_p,B'_d,O_s,O_p,dis_x_A1,dis_x_A2,dis_y_A1,dis_y_A2,dis_x_A'1,dis_x_A'2,dis_y_A'1,dis_y_A'2,|x_A_dis|,|y_A_dis|,|x_A'_dis|,|y_A'_dis|,|A_dis|,|A'_dis|,tilt_angle,rot_angle,Energy,Energy_C,Energy_R,Energy_diff,Energy_diff(meV),Energy_5-atom_unitcell,target_label
Comp_0,BaCeMnNiO6,Ba,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.97,0.53,0.69,0.75,0.61,0.757728834,4.95206467,5.378012,5.363608,7.620911,90,90.176399,90,219.828326,P21,4,P4/nmm,129,9.688,2.705,1.723,0.05775,2.008,5.63,0.372,1.957,5.627,0.6635,0.363,0.587,4.894,0.363,0.487,8.227,1.563916667,3.436,-0.00552116,0.005521139,-0.013704444,-0.013704444,-0.005673237,0.005673217,0.036093102,0.036093082,0.00552115,0.013704444,0.005673227,0.036093092,0.014774806,0.03653624,10.26580409,15.88710772,-144.012555,-143.2352,-143.235174,-0.7774,-777.355,-194.33875,1
Comp_1,BaDyMnNiO6,Ba,Dy,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.027,0.53,0.69,1.2235,0.61,0.928578645,3.15673179,5.392695,5.454293,7.736013,90,90.172218,90,227.540948,P21,4,P4/nmm,129,7.918,2.548,1.618,-0.039833333,2.01,5.6245,0.395,0.285,6.686,1.216,0.373,0.601,4.8805,0.375,0.507,8.216,1.563916667,3.429833333,-0.003718757,0.003718737,-0.016436727,-0.016436727,0.005037791,-0.005037811,0.053535013,0.053534992,0.003718747,0.016436727,0.005037801,0.053535002,0.016852153,0.053771516,13.7878408,13.50760133,-134.7443,-134.8407,-134.5971,0.0964,96.4,24.1,0
Comp_2,BaGdMnNiO6,Ba,Gd,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.053,0.53,0.69,1.2365,0.61,0.933269347,3.25084612,5.428443,5.442665,7.714611,90,90.19014,90,227.928468,P21,4,P4/nmm,129,7.913,2.563,1.6055,-0.040833333,2.009,5.6255,0.386,0.213,6.482,1.134,0.374,0.603,4.885,0.379,0.518,8.223,1.564,3.429333333,-0.004958086,0.004958066,-0.012290987,-0.012290987,-0.000291619,0.000291598,0.041830952,0.041830932,0.004958076,0.012290987,0.000291608,0.041830942,0.013253334,0.041831958,12.1770103,10.24035389,-135.1987,-135.2976,-135.0756,0.0989,98.9,24.725,0
Comp_3,BaHfMnNiO6,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,1.125,0.61,0.893037554,4.41581411,5.481362,5.490954,7.589968,90,89.800896,90,228.440791,P21,4,P4/nmm,129,9.705,2.707,1.7355,0.061916667,2.008,5.63,0.363,0.4635,0.7415,2.118,0.359,0.566,4.891,0.367,0.475,8.217,1.56025,3.463,-0.019173274,0.019173254,8.38E-06,8.38E-06,-0.093872508,0.093872488,-0.089676362,-0.089676382,0.019173264,8.38E-06,0.093872498,0.089676372,0.019173266,0.129822562,6.65626512,32.34218866,-141.3711003,-141.6645472,-140.8621559,0.2934,293.447,73.3617225,0
Comp_4,BaHfMnNiO6,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,0.68,0.61,0.732471206,4.41747957,5.481362,5.490954,7.589968,90,89.800896,90,228.440791,P21,4,P4/nmm,129,9.705,2.707,1.7355,0.061916667,2.008,5.63,0.363,0.4635,0.7415,2.118,0.359,0.566,4.891,0.367,0.475,8.217,1.56025,3.463,-0.019173274,0.019173254,8.38E-06,8.38E-06,-0.093872508,0.093872488,-0.089676362,-0.089676382,0.019173264,8.38E-06,0.093872498,0.089676372,0.019173266,0.129822562,6.660802058,32.33221515,-141.3711003,-141.6645472,-140.8621559,0.2934,293.447,73.3617225,0
Comp_5,BaPbMnNiO6,Ba,Pb,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.94,0.53,0.69,1.18,0.61,0.912882833,4.0364458,5.379386,5.507858,7.846538,90,90.215019,90,232.482605,P21,4,P4/nmm,129,9.679,2.6725,1.732,0.065583333,2.012,5.629,0.409,1.4345,1.3625,0.424,0.359,0.5675,4.8735,0.354,0.4505,8.189,1.571916667,3.400083333,-0.004335343,0.004335323,-0.026741468,-0.026741468,0.006540738,-0.006540758,0.062353957,0.062353936,0.004335333,0.026741468,0.006540748,0.062353946,0.027090612,0.062696061,15.84856297,20.12703312,-120.142749,-120.2194351,-120.0465584,0.0767,76.686,19.171535,0
Comp_6,BaSmMnNiO6,Ba,Sm,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.079,0.53,0.69,1.2495,0.61,0.93796005,3.34403418,5.472462,5.426559,7.669853,90,90.079407,90,227.768627,P21,4,P4/nmm,129,7.917,2.599,1.5755,-0.040833333,2.006,5.627,0.369,2.1015,5.968,0.778,0.376,0.607,4.895,0.387,0.542,8.2385,1.564,3.428666667,-0.005949292,0.005949271,-0.001842874,-0.001842874,-0.010377344,0.010377324,0.013385944,0.013385924,0.005949282,0.001842874,0.010377334,0.013385934,0.006228173,0.016937305,9.145335145,2.178423487,-135.469,-135.5711,-135.3766,0.1021,102.1,25.525,0
Comp_7,BaTbMnNiO6,Ba,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.88,0.53,0.69,1.15,0.61,0.902058136,3.21214075,5.4115,5.449193,7.721151,90,90.149811,90,227.682909,P21,4,P4/nmm,129,7.915,2.5575,1.6115,-0.040666667,2.009,5.625,0.39,0.247,6.568,1.173,0.374,0.6025,4.8835,0.377,0.513,8.22,1.56375,3.4295,-0.004538424,0.004538404,-0.014792138,-0.014792138,0.002103023,-0.002103043,0.048007611,0.048007591,0.004538414,0.014792138,0.002103033,0.048007601,0.015472703,0.048053642,12.8750759,11.92237716,-138.699911,-138.224791,-134.8607192,-0.4751,-475.12,-118.78,1
Comp_8,BaTmMnNiO6,Ba,Tm,Mn,Ni,2,3,8,8,4,3,6,6,1.42,0.994,0.53,0.69,1.207,0.61,0.922625061,3.04877907,5.340471,5.46042,7.758624,90,90.126869,90,226.25035,P21,4,P4/nmm,129,7.927,2.5375,1.628,-0.039,2.011,5.6235,0.406,0.385,6.989,1.23,0.372,0.599,4.877,0.373,0.497,8.2115,1.563833333,3.431833333,-0.003455551,0.003455531,-0.022809299,-0.022809299,0.009875499,-0.009875519,0.06487908,0.064879059,0.003455541,0.022809299,0.009875509,0.064879069,0.023069566,0.065626362,15.80928985,16.84493421,-133.8833,-133.9758,-133.7023,0.0925,92.5,23.125,0
Comp_9,BaZrMnNiO6,Ba,Zr,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.84,0.53,0.69,1.13,0.61,0.894841671,4.31183101,5.467896,5.498711,7.631068,90,89.841698,90,229.43771,P21,4,P4/nmm,129,9.714,2.7095,1.7335,0.061,2.008,5.63,0.361,0.456,0.724,2.2535,0.359,0.568,4.891,0.365,0.476,8.217,1.562666667,3.45275,-0.015304859,0.015304839,0.002460739,0.002460739,-0.087014785,0.087014764,-0.085489346,-0.085489367,0.015304849,0.002460739,0.087014774,0.085489356,0.015501408,0.12198361,5.832602428,30.31646913,-139.2194868,-139.5101869,-138.7651969,0.2907,290.7,72.67504,0
