Index,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,avg anion electron affinity,compound possible,max ionic char,avg ionic char,density,vpa,packing fraction,spacegroup_num,crystal_system_int,is_centrosymmetric,ewald_energy,sine coulomb matrix eig 0,sine coulomb matrix eig 1,sine coulomb matrix eig 2,sine coulomb matrix eig 3,sine coulomb matrix eig 4,sine coulomb matrix eig 5,sine coulomb matrix eig 6,sine coulomb matrix eig 7,sine coulomb matrix eig 8,sine coulomb matrix eig 9,sine coulomb matrix eig 10,sine coulomb matrix eig 11,sine coulomb matrix eig 12,sine coulomb matrix eig 13,sine coulomb matrix eig 14,sine coulomb matrix eig 15,sine coulomb matrix eig 16,sine coulomb matrix eig 17,sine coulomb matrix eig 18,sine coulomb matrix eig 19,structural complexity per atom,structural complexity per cell,crystal_system_monoclinic,crystal_system_triclinic,target_label,Compound name
Comp_0,8.0,58.0,50.0,21.5,16.2,8.0,9.0,87.0,78.0,65.9,25.32,87.0,15.9994,140.116,124.11660000000002,48.70708449999999,39.249221399999996,15.9994,54.8,1728.0,1673.2,564.6800000000001,611.856,54.8,2.0,16.0,14.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,107.8,50.160000000000004,66.0,0.89,3.44,2.55,2.6109999999999998,0.9948,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.4,2.04,0.0,0.0,1.0,1.0,0.1,0.18000000000000002,0.0,2.0,10.0,8.0,5.9,1.1599999999999997,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,1.6,2.24,0.0,0.0,13.0,13.0,1.3,2.3400000000000003,0.0,0.0,22.0,22.0,4.1,3.7599999999999993,2.0,9.105,63.59,54.485,17.62675862069,13.115296551724004,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,12.0,229.0,217.0,93.7,98.04,12.0,-2.0,4.5,6.5,3.278719262151,-282000.0,1,0.8032113561415081,0.16025451206139188,6.995589957417583,11.561571951008705,0.8249771239021815,4,6,0,-720.0403847081457,8967.537480485364,7624.270949370251,7901.183625410195,8309.628178518966,1531.8368918743813,1449.5222209492124,1136.2222865884903,1103.6930414109377,109.38669440614738,59.23980643565307,74.18286263849595,65.20934033783149,66.12026006466643,67.37619961295307,67.54506568898134,67.64366948067916,68.90889692752697,70.66787135333159,70.31938394319714,70.30919088891109,3.321928094887362,66.43856189774725,1,0,1,BaCeMnNiO6
Comp_1,8.0,66.0,58.0,22.3,17.160000000000004,8.0,9.0,87.0,78.0,67.5,23.4,87.0,15.9994,162.5,146.5006,50.9454845,41.9353014,15.9994,54.8,1728.0,1673.2,626.08,685.5360000000001,54.8,2.0,16.0,14.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,106.6,48.72,66.0,0.89,3.44,2.55,2.621,0.9827999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.3,2.08,0.0,0.0,10.0,10.0,1.0,1.8,0.0,2.0,12.0,10.0,6.7,1.7800000000000005,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,0.7,1.1199999999999999,0.0,0.0,4.0,4.0,0.4,0.7200000000000001,0.0,0.0,5.0,5.0,2.3,0.8799999999999999,2.0,9.105,63.59,54.485,17.02675862069,12.155296551724,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,12.0,229.0,217.0,93.7,98.04,12.0,-2.0,5.0,7.0,3.3166247903554,-282000.0,1,0.8032113561415081,0.15800832191792738,7.4357575442189825,11.377047567249642,0.8025612263901492,4,6,0,-743.9787146041143,12011.621617997233,11338.663309200565,8029.4297746350785,7627.766826156672,1533.4420067030778,1449.2652593072928,1136.4457546628707,1103.5495428594554,109.34083715173777,59.41535367664458,74.12080320478626,65.10477318339446,66.05155250692945,68.68034613727944,67.2696157787178,67.51987445093403,67.58646370086532,70.5861690267282,70.51346802024041,70.52402813435549,3.321928094887362,66.43856189774725,1,0,0,BaDyMnNiO6
Comp_2,8.0,64.0,56.0,22.1,16.919999999999998,8.0,9.0,87.0,78.0,67.1,23.880000000000003,87.0,15.9994,157.25,141.2506,50.4204845,41.3053014,15.9994,54.8,1728.0,1673.2,616.1800000000001,673.6560000000001,54.8,2.0,16.0,14.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,107.0,49.2,66.0,0.89,3.44,2.55,2.619,0.9852000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.4,2.04,0.0,0.0,7.0,7.0,0.7,1.26,0.0,2.0,10.0,8.0,6.5,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,1.6,2.24,0.0,0.0,7.0,7.0,0.7,1.26,0.0,0.0,16.0,16.0,3.5,2.8,2.0,9.105,63.59,54.485,17.10775862069,12.284896551724,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,12.0,229.0,217.0,93.7,98.04,12.0,-2.0,5.0,7.0,3.3166247903554,-282000.0,1,0.8032113561415081,0.15845803786788956,7.346619082024215,11.396423760966375,0.818568187792063,4,6,0,-742.8249069350215,11174.92394135397,10529.18285008237,8018.6715806425245,7627.841280761655,1533.3398259256987,1449.2872554454507,1136.4180453740507,1103.5823724676054,109.33509018959971,59.13387282813812,74.00239161939564,65.08166637359221,65.97368370369401,70.48702240155835,70.66514191537252,70.57142284772539,68.76639971618864,67.61671857578358,67.57793077759483,67.41209111406766,3.321928094887362,66.43856189774725,1,0,0,BaGdMnNiO6
Comp_3,8.0,72.0,64.0,22.9,17.880000000000003,8.0,9.0,87.0,78.0,68.9,21.72,87.0,15.9994,178.49,162.4906,52.544484499999996,43.8541014,15.9994,54.8,2506.0,2451.2,708.1800000000001,784.056,54.8,2.0,16.0,14.0,11.9,4.92,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,104.9,46.68,66.0,0.89,3.44,2.55,2.629,0.9732,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.5,2.1,0.0,0.0,14.0,14.0,1.4,2.52,0.0,2.0,18.0,16.0,7.3,2.6799999999999997,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,8.0,8.0,1.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.7,1.52,2.0,9.105,63.59,54.485,16.12275862069,10.708896551724001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,12.0,229.0,217.0,93.7,98.04,12.0,-2.0,4.0,6.0,3.265986323710904,-282000.0,1,0.8032113561415081,0.15620931343814862,7.638590737403556,11.422547986419046,0.7393884989863664,4,6,0,-706.6962193229192,14810.844077129248,13930.41146683579,8042.315952773612,7629.2738345336165,1534.248509069007,1448.7772754237071,1136.054233149882,1102.9178228396281,110.71833504730327,59.463403190575775,74.02534529330582,71.19852400367137,70.69351363986178,65.64509133060561,68.8765269611393,68.82372449906342,67.24852595961607,66.81896331445054,66.93398871517756,67.00833903136167,3.321928094887362,66.43856189774725,1,0,0,BaHfMnNiO6
Comp_4,8.0,72.0,64.0,22.9,17.880000000000003,8.0,9.0,87.0,78.0,68.9,21.72,87.0,15.9994,178.49,162.4906,52.544484499999996,43.8541014,15.9994,54.8,2506.0,2451.2,708.1800000000001,784.056,54.8,2.0,16.0,14.0,11.9,4.92,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,104.9,46.68,66.0,0.89,3.44,2.55,2.629,0.9732,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.5,2.1,0.0,0.0,14.0,14.0,1.4,2.52,0.0,2.0,18.0,16.0,7.3,2.6799999999999997,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,8.0,8.0,1.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.7,1.52,2.0,9.105,63.59,54.485,16.12275862069,10.708896551724001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,12.0,229.0,217.0,93.7,98.04,12.0,-2.0,4.0,6.0,3.265986323710904,-282000.0,1,0.8032113561415081,0.15620931343814862,7.638590737403556,11.422547986419046,0.7393884989863664,4,6,0,-706.6962193229192,14810.844077129248,13930.41146683579,8042.315952773612,7629.2738345336165,1534.248509069007,1448.7772754237071,1136.054233149882,1102.9178228396281,110.71833504730327,59.463403190575775,74.02534529330582,71.19852400367137,70.69351363986178,65.64509133060561,68.8765269611393,68.82372449906342,67.24852595961607,66.81896331445054,66.93398871517756,67.00833903136167,3.321928094887362,66.43856189774725,1,0,0,BaHfMnNiO6
Comp_5,8.0,82.0,74.0,23.9,19.080000000000002,8.0,9.0,87.0,78.0,72.5,19.1,87.0,15.9994,207.2,191.20059999999998,55.415484500000005,47.3947893,15.9994,54.8,1728.0,1673.2,517.6410000000001,555.4092,54.8,2.0,16.0,14.0,12.9,3.939999999999999,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,102.0,43.2,66.0,0.89,3.44,2.55,2.732,0.8495999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6,1.6799999999999997,4.0,0.0,10.0,10.0,2.3,3.2199999999999998,0.0,0.0,14.0,14.0,1.4,2.52,0.0,2.0,28.0,26.0,8.3,4.28,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,0.9599999999999997,2.0,0.0,5.0,5.0,0.7,1.1199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.3,0.8799999999999999,2.0,9.105,63.59,54.485,16.71375862069,11.654496551724,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,12.0,229.0,217.0,96.8,101.75999999999999,12.0,-2.0,5.0,7.0,3.3166247903554,-282000.0,1,0.8032113561415081,0.135643638938878,7.916254731470151,11.624130353082704,0.8025331497466114,4,6,0,-746.1631186854313,20100.228003472406,19132.173035624837,8055.356142221459,7629.324042650604,1534.2700055326693,1449.4905319724699,1136.9586724792769,1103.665078483224,109.4827950729198,60.260226439377604,74.39004035446501,70.73006638519162,70.29336962287802,70.33051818261757,65.27539850874068,66.36583087605473,68.54794944506754,66.9539571202115,67.50884112232214,67.46167361598522,3.321928094887362,66.43856189774725,1,0,0,BaPbMnNiO6
Comp_6,8.0,62.0,54.0,21.9,16.68,8.0,9.0,87.0,78.0,66.7,24.36,87.0,15.9994,150.36,134.3606,49.7314845,40.478501400000006,15.9994,54.8,1728.0,1673.2,592.08,644.7360000000001,54.8,2.0,16.0,14.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,107.2,49.44,66.0,0.89,3.44,2.55,2.616,0.9888,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.3,2.08,0.0,0.0,6.0,6.0,0.6,1.0799999999999998,0.0,2.0,10.0,8.0,6.3,1.22,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,0.7,1.1199999999999999,0.0,0.0,8.0,8.0,0.8,1.4400000000000002,0.0,0.0,8.0,8.0,2.7,1.52,2.0,9.105,63.59,54.485,17.225758620689998,12.473696551723998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,12.0,229.0,217.0,90.9,94.67999999999999,12.0,-2.0,5.0,7.0,3.3166247903554,-282000.0,1,0.8032113561415081,0.1591322773259398,7.251312652221324,11.388430869404724,0.8375194515651347,4,6,0,-741.290492711903,10381.459817208342,9754.188207550738,8001.27627778777,7627.710662891466,1533.3765308302102,1449.310081817383,1136.3408356447146,1103.5862026414088,109.49791296804241,58.58297507528618,73.83767800704746,65.8699065742802,65.06626892049655,70.89273473531456,70.27656193679246,70.60162371305434,68.98244113053936,67.5960364733356,67.67305875041721,67.65333669286721,3.321928094887362,66.43856189774725,1,0,0,BaSmMnNiO6
Comp_7,8.0,65.0,57.0,22.2,17.04,8.0,9.0,87.0,78.0,67.3,23.64,87.0,15.9994,158.92535,142.92595,50.588019499999994,41.5063434,15.9994,54.8,1728.0,1673.2,620.48,678.816,54.8,2.0,16.0,14.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,106.8,48.96,66.0,0.89,3.44,2.55,2.62,0.984,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.3,2.08,0.0,0.0,9.0,9.0,0.9,1.6200000000000003,0.0,2.0,11.0,9.0,6.6,1.64,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,0.7,1.1199999999999999,0.0,0.0,5.0,5.0,0.5,0.9,0.0,0.0,5.0,5.0,2.4,1.0399999999999998,2.0,9.105,63.59,54.485,17.076425287360003,12.234763218396003,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,12.0,229.0,217.0,93.7,98.04,12.0,-2.0,4.5,6.5,3.278719262151,-282000.0,1,0.8032113561415081,0.16070267527304002,7.378979952483293,11.384145670893496,0.8020608232039864,4,6,0,-723.6322671731941,11588.113751784304,10929.620941299743,8024.541424672866,7627.843605154855,1533.4006998659797,1449.2775502309375,1136.4265741758431,1103.5699066750242,109.34756053000704,59.258210319144304,74.04910875840109,65.09216257154408,66.0123375464647,67.34320240921183,67.55634840674435,67.60200741933535,68.72315278001335,70.62273664241256,70.50453245132843,70.55595399060255,3.321928094887362,66.43856189774725,1,0,1,BaTbMnNiO6
Comp_8,8.0,69.0,61.0,22.6,17.52,8.0,9.0,87.0,78.0,68.1,22.68,87.0,15.9994,168.93421,152.93481,51.588905499999996,42.7074066,15.9994,54.8,1818.0,1763.2,639.38,701.496,54.8,2.0,16.0,14.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,215.0,149.0,106.4,48.480000000000004,66.0,0.89,3.44,2.55,2.624,0.9792,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.3,2.08,0.0,0.0,13.0,13.0,1.3,2.3400000000000003,0.0,2.0,15.0,13.0,7.0,2.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,0.7,1.1199999999999999,0.0,0.0,1.0,1.0,0.1,0.18000000000000002,0.0,0.0,5.0,5.0,2.0,0.6,2.0,9.105,63.59,54.485,16.88075862069,11.921696551723999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,12.0,229.0,217.0,93.7,98.04,12.0,-2.0,5.0,7.0,3.3166247903554,-282000.0,1,0.8032113561415081,0.15733360055337428,7.572619849019798,11.31251729174998,0.807139296479118,4,6,0,-745.7255631316405,13341.845047987994,12618.79382622531,8039.936647316973,7627.192266581006,1533.7013220540496,1449.188414255767,1136.4627961649926,1103.4643166663625,109.39072324215984,59.75434927618632,74.2344538780607,65.1220397783747,66.1537763363717,68.54520534314763,67.04064893209645,67.45222149153946,67.51583323963968,70.64842323263379,70.44692346418336,70.46971266018753,3.321928094887362,66.43856189774725,1,0,0,BaTmMnNiO6
Comp_9,8.0,56.0,48.0,19.7,14.039999999999997,8.0,9.0,87.0,78.0,68.8,21.84,87.0,15.9994,137.327,121.3276,43.8178845,33.3821814,15.9994,54.8,2128.0,2073.2,670.38,738.696,54.8,2.0,16.0,14.0,11.9,4.92,16.0,2.0,6.0,4.0,3.1,1.3199999999999998,2.0,66.0,215.0,149.0,104.9,46.68,66.0,0.89,3.44,2.55,2.632,0.9696,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,8.0,8.0,1.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,5.9,1.1599999999999997,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,8.0,8.0,1.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.7,1.52,2.0,9.105,63.59,54.485,16.22225862069,10.868096551724,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.0595704820689655,0.1071648435862069,0.0,12.0,229.0,217.0,93.7,98.04,12.0,-2.0,4.0,6.0,3.265986323710904,-282000.0,1,0.8032113561415081,0.15553532614127405,6.342575981510045,11.471886066502199,0.7362085503045126,4,6,0,-703.9175729777393,8099.42247514355,7630.994205916682,3639.0413718812943,3373.9660603396683,1523.3125520984008,1448.9792406362455,1133.4750900592448,1103.1136679128374,109.48915065675902,59.30892633034383,74.09835476527847,71.15187384889023,70.63535641446032,65.5867617220576,68.94014535325793,68.8380065752342,66.91847532031015,67.02071245602711,67.135301481041,67.14251833836553,3.321928094887362,66.43856189774725,1,0,0,BaZrMnNiO6
