Index,Compound name,A_site,A'_site,B_site,B'_site,C_A,C_A',Cn_A,Cn_A',C_B,C_B',Cn_B,Cn_B',r_Asite,r_A'site,r_Bsite,r_B'site,Avg_AA',Avg_BB',TF,Energy,Fermi_energy,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,space_group_LS,Space_group_No_LS,space_group_HS,Space_group_No_HS,Total_mag_Outcar,mag_B,mag_B',mag_O,A_s,A_p,A_d,A'_s,A'_p,A'_d,B_s,B_p,B_d,B'_s,B'_p,B'_d,O_s,O_p,dis_x_A1,dis_x_A2,dis_y_A1,dis_y_A2,dis_x_A'1,dis_x_A'2,dis_y_A'1,dis_y_A'2,|x_A_dis|,|y_A_dis|,|x_A'_dis|,|y_A'_dis|,|A_dis|,|A'_dis|,tilt_angle,rot_angle,target_label
Comp_0,BaCeMnNiO6_C,Ba,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.97,0.53,0.69,0.75,0.61,0.757728834,-143.2352,4.97262319,5.518559,5.518564,7.536327,90.198578,90.107948,88.998055,229.478362,P-1,2,P42/mmc,131,9.687,2.7435,1.713,0.051,2.009,5.635,0.389,1.954,5.617,0.676,0.3625,0.5825,4.882,0.371,0.503,8.2385,1.563666667,3.435166667,-0.004050736,0.004050736,-0.007882209,-0.007882209,-0.008241001,0.00824096,-0.017914157,0.017914117,0.004050736,0.007882209,0.008240981,0.017914137,0.008862149,0.019718774,13.66974434,4.602607902,0
Comp_1,BaCeMnNiO6_L,Ba,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.97,0.53,0.69,0.75,0.61,0.757728834,-144.012555,4.95206467,5.378012,5.363608,7.620911,90,90.176399,90,219.828326,P21,4,P4/nmm,129,9.688,2.705,1.723,0.05775,2.008,5.63,0.372,1.957,5.627,0.6635,0.363,0.587,4.894,0.363,0.487,8.227,1.563916667,3.436,-0.00552116,0.005521139,-0.013704444,-0.013704444,-0.005673237,0.005673217,0.036093102,0.036093082,0.00552115,0.013704444,0.005673227,0.036093092,0.014774806,0.03653624,10.26580409,15.88710772,1
Comp_2,BaCeMnNiO6_R,Ba,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.97,0.53,0.69,0.75,0.61,0.757728834,-143.235174,4.78267661,5.452086,5.561969,7.702207,90.004288,90.265579,90.00489,233.561781,Pc,7,F-4 3m,216,9.689,2.7185,1.732,0.0515,2.011,5.647,0.413,1.959,5.614,0.726,0.3505,0.557,4.865,0.352,0.456,8.192,1.565166667,3.430666667,0.000183253,0.000222353,-0.017955135,-0.017955135,0.018171586,0.018228116,-0.051865952,0.051850114,0.000202803,0.017955135,0.018199851,0.051858033,0.017956281,0.054958986,9.40366622,7.278860534,2
Comp_3,BaDyMnNiO6_C,Ba,Dy,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.027,0.53,0.69,1.2235,0.61,0.928578645,-134.8407,3.16013207,5.500483,5.481712,7.512065,90.620804,90.760681,90.181976,226.469732,P-1,2,P42/mmc,131,7.963,2.6405,1.606,-0.0515,2.011,5.631,0.411,0.274,6.631,1.177,0.3695,0.592,4.8745,0.381,0.5235,8.2245,1.564333333,3.4265,0.000999137,-0.000999137,-0.014363098,-0.014363098,0.005714699,-0.005714739,-0.033831274,0.033831234,0.000999137,0.014363098,0.005714719,0.033831254,0.014397807,0.03431052,14.47744165,9.539927936,0
Comp_4,BaDyMnNiO6_L,Ba,Dy,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.027,0.53,0.69,1.2235,0.61,0.928578645,-134.7443,3.15673179,5.392695,5.454293,7.736013,90,90.172218,90,227.540948,P21,4,P4/nmm,129,7.918,2.548,1.618,-0.039833333,2.01,5.6245,0.395,0.285,6.686,1.216,0.373,0.601,4.8805,0.375,0.507,8.216,1.563916667,3.429833333,-0.003718757,0.003718737,-0.016436727,-0.016436727,0.005037791,-0.005037811,0.053535013,0.053534992,0.003718747,0.016436727,0.005037801,0.053535002,0.016852153,0.053771516,13.7878408,13.50760133,1
Comp_5,BaDyMnNiO6_R,Ba,Dy,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.027,0.53,0.69,1.2235,0.61,0.928578645,-134.5971,3.10764625,5.41914,5.527246,7.619304,89.9981,90.313652,90.011276,228.216983,Pc,7,F-4 3m,216,7.929,2.5245,1.662,-0.042166667,2.013,5.633,0.4255,0.2935,6.6755,1.251,0.369,0.593,4.866,0.365,0.482,8.192,1.564333333,3.425666667,0.001262054,0.001282472,-0.011816365,-0.011816365,0.016601268,0.016827455,-0.054752168,0.054566843,0.001272263,0.011816365,0.016714362,0.054659505,0.01188466,0.057157951,8.099107938,5.02407196,2
Comp_6,BaGdMnNiO6_C,Ba,Gd,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.053,0.53,0.69,1.2365,0.61,0.933269347,-135.2976,3.26964272,5.508229,5.486319,7.498161,90.131523,90.319115,89.00856,226.55569,P-1,2,P42/mmc,131,7.956,2.6565,1.5825,-0.050666667,2.009,5.631,0.397,0.204,6.44,1.093,0.3705,0.5945,4.8795,0.3875,0.5395,8.2335,1.564166667,3.4265,-0.001188392,0.001188392,-0.005469616,-0.005469616,-0.004652093,0.004652053,-0.016653714,0.016653673,0.001188392,0.005469616,0.004652073,0.016653693,0.005597229,0.017291249,12.16455384,2.575051422,0
Comp_7,BaGdMnNiO6_L,Ba,Gd,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.053,0.53,0.69,1.2365,0.61,0.933269347,-135.1987,3.25084612,5.428443,5.442665,7.714611,90,90.19014,90,227.928468,P21,4,P4/nmm,129,7.913,2.563,1.6055,-0.040833333,2.009,5.6255,0.386,0.213,6.482,1.134,0.374,0.603,4.885,0.379,0.518,8.223,1.564,3.429333333,-0.004958086,0.004958066,-0.012290987,-0.012290987,-0.000291619,0.000291598,0.041830952,0.041830932,0.004958076,0.012290987,0.000291608,0.041830942,0.013253334,0.041831958,12.1770103,10.24035389,1
Comp_8,BaGdMnNiO6_R,Ba,Gd,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.053,0.53,0.69,1.2365,0.61,0.933269347,-135.0756,3.15376849,5.241396,5.496042,7.478897,90.011894,89.690292,89.994804,215.440926,Pc,7,F-4 3m,216,7.922,2.5275,1.659,-0.042416667,2.012,5.632,0.4205,0.222,6.483,1.179,0.369,0.594,4.867,0.366,0.485,8.195,1.564583333,3.4245,0.001168871,0.001158531,-0.011046808,-0.011046808,0.014522791,0.014541214,-0.05161365,0.051615991,0.001163701,0.011046808,0.014532002,0.051614821,0.011107933,0.053621533,7.416748591,5.330007934,2
Comp_9,BaHfMnNiO6_C,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,1.125,0.61,0.893037554,-141.6645472,4.27892121,5.387375,5.560064,7.466212,91.393044,91.518333,90.596519,223.485795,P-1,2,P42/mmc,131,9.722,2.775,1.725,0.051666667,2.017,5.643,0.455,0.464,0.691,2.05,0.3475,0.547,4.8555,0.359,0.455,8.201,1.560333333,3.457333333,0.002702894,-0.002702894,-0.042791627,-0.042791627,0.031766775,-0.031766816,-0.068173132,0.068173092,0.002702894,0.042791627,0.031766796,0.068173112,0.042876905,0.075211053,23.35825015,20.08536809,0
