Index,Compound name,A site,A'site,B site,B'site,C_A,C_A',Cn_A,Cn_A',C_B,C_B',Cn_B,Cn_B',r_Asite,r_A'site,r_Bsite,r_B'site,Avg_AA',Avg_BB',TF,Energy,Fermi_energy,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,space_group_LS,Space_group_No_LS,space_group_HS,Space_group_No_HS,Total_mag_Outcar,mag_B,mag_B',mag_O,A_s,A_p,A_d,A'_s,A'_p,A'_d,B_s,B_p,B_d,B'_s,B'_p,B'_d,O_s,O_p,dis_x_A1,dis_x_A2,dis_y_A1,dis_y_A2,dis_x_A'1,dis_x_A'2,dis_y_A'1,dis_y_A'2,|x_A_dis|,|y_A_dis|,|x_A'_dis|,|y_A'_dis|,|A_dis|,|A'_dis|,tilt_angle,rot_angle,Q_R-,Q_R+,Q_T,Q_AFE_(A),Q_AFE_(O),CD_(2D),CD_(3D),target_label
Comp_0,BaCeMnNiO6_C,Ba,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.97,0.53,0.69,0.75,0.61,0.757728834,-143.2352,4.97262319,5.518559,5.518564,7.536327,90.198578,90.107948,88.998055,229.478362,P-1,2,P42/mmc,131,9.687,2.7435,1.713,0.051,2.009,5.635,0.389,1.954,5.617,0.676,0.3625,0.5825,4.882,0.371,0.503,8.2385,1.563666667,3.435166667,-0.004050736,0.004050736,-0.007882209,-0.007882209,-0.008241001,0.00824096,-0.017914157,0.017914117,0.004050736,0.007882209,0.008240981,0.017914137,0.008862149,0.019718774,13.66974434,4.602607902,0.00487,0.25501,0,1.18514,0,0.25479,0,0
Comp_1,BaCeMnNiO6_L,Ba,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.97,0.53,0.69,0.75,0.61,0.757728834,-144.012555,4.95206467,5.378012,5.363608,7.620911,90,90.176399,90,219.828326,P21,4,P4/nmm,129,9.688,2.705,1.723,0.05775,2.008,5.63,0.372,1.957,5.627,0.6635,0.363,0.587,4.894,0.363,0.487,8.227,1.563916667,3.436,-0.00552116,0.005521139,-0.013704444,-0.013704444,-0.005673237,0.005673217,0.036093102,0.036093082,0.00552115,0.013704444,0.005673227,0.036093092,0.014774806,0.03653624,10.26580409,15.88710772,0,0.82939,0.7138,0.726945,0.80275,0.00593,0,1
Comp_2,BaCeMnNiO6_R,Ba,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.97,0.53,0.69,0.75,0.61,0.757728834,-143.235174,4.78267661,5.452086,5.561969,7.702207,90.004288,90.265579,90.00489,233.561781,Pc,7,F-4 3m,216,9.689,2.7185,1.732,0.0515,2.011,5.647,0.413,1.959,5.614,0.726,0.3505,0.557,4.865,0.352,0.456,8.192,1.565166667,3.430666667,0.000183253,0.000222353,-0.017955135,-0.017955135,0.018171586,0.018228116,-0.051865952,0.051850114,0.000202803,0.017955135,0.018199851,0.051858033,0.017956281,0.054958986,9.40366622,7.278860534,0,0.6697,1.3384,0.36965,0,0,0.1274,2
Comp_3,BaHfMnNiO6_L,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,1.125,0.61,0.893037554,-141.3711003,4.41581411,5.481362,5.490954,7.589968,90,89.800896,90,228.440791,P21,4,P4/nmm,129,9.705,2.707,1.7355,0.061916667,2.008,5.63,0.363,0.4635,0.7415,2.118,0.359,0.566,4.891,0.367,0.475,8.217,1.56025,3.463,-0.019173274,0.019173254,8.38E-06,8.38E-06,-0.093872508,0.093872488,-0.089676362,-0.089676382,0.019173264,8.38E-06,0.093872498,0.089676372,0.019173266,0.129822562,6.65626512,32.34218866,0,1.49716,0.87948,0.414095,1.16537,0.07588,0,1
Comp_4,BaHfMnNiO6_L,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,0.68,0.61,0.732471206,-141.3711003,4.41747957,5.481362,5.490954,7.589968,90,89.800896,90,228.440791,P21,4,P4/nmm,129,9.705,2.707,1.7355,0.061916667,2.008,5.63,0.363,0.4635,0.7415,2.118,0.359,0.566,4.891,0.367,0.475,8.217,1.56025,3.463,-0.019173274,0.019173254,8.38E-06,8.38E-06,-0.093872508,0.093872488,-0.089676362,-0.089676382,0.019173264,8.38E-06,0.093872498,0.089676372,0.019173266,0.129822562,6.660802058,32.33221515,0,1.49716,0.87948,0.414095,1.16537,0.07588,0,1
Comp_5,BaHfMnNiO6_R,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,1.125,0.61,0.893037554,-140.8621559,4.37974503,5.338003,5.457809,7.74534,89.999405,89.463219,90.001595,225.641305,Pc,7,F-4 3m,216,9.704,2.737,1.746,0.0545,2.012,5.647,0.425,0.496,0.717,2.138,0.341,0.532,4.853,0.345,0.432,8.1725,1.560333333,3.4555,-0.003434401,-0.003383693,-0.013332555,-0.013332555,-0.032236301,-0.032238186,-0.056936956,0.056950544,0.003409047,0.013332555,0.032237243,0.05694375,0.013761491,0.065435697,12.00480139,24.12219138,0,1.7417,1.0197,5.22025,0,0,0.16965,2
Comp_6,BaHfMnNiO6_R,Ba,Hf,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.83,0.53,0.69,0.68,0.61,0.732471206,-140.8621559,4.3796295,5.338003,5.457809,7.74534,89.999405,89.463219,90.001595,225.641305,Pc,7,F-4 3m,216,9.704,2.737,1.746,0.0545,2.012,5.647,0.425,0.496,0.717,2.138,0.341,0.532,4.853,0.345,0.432,8.1725,1.560333333,3.4555,-0.003434401,-0.003383693,-0.013332555,-0.013332555,-0.032236301,-0.032238186,-0.056936956,0.056950544,0.003409047,0.013332555,0.032237243,0.05694375,0.013761491,0.065435697,12.00182369,24.12709884,0,1.7417,1.0197,5.22025,0,0,0.16965,2
Comp_7,BaPbMnNiO6_R,Ba,Pb,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.94,0.53,0.69,1.18,0.61,0.912882833,-120.0465584,3.88960891,5.432747,5.485907,7.833626,89.999069,89.733009,90.000908,233.467301,Pc,7,F-4 3m,216,9.679,2.706,1.7395,0.059,2.011,5.645,0.397,1.465,1.412,0.412,0.35,0.547,4.852,0.349,0.44,8.168,1.5715,3.3935,-0.000411586,-0.00041275,-0.005674763,-0.005674763,-0.020544019,-0.02060659,-0.04275169,0.042756334,0.000412168,0.005674763,0.020575304,0.042754012,0.005689711,0.047447325,8.219798535,20.39482673,0,1.3724,0.8211,5.30005,0,0,0.14735,2
Comp_8,BaSmMnNiO6_L,Ba,Sm,Mn,Ni,2,3,8,8,4,3,6,6,1.42,1.079,0.53,0.69,1.2495,0.61,0.93796005,-135.469,3.34403418,5.472462,5.426559,7.669853,90,90.079407,90,227.768627,P21,4,P4/nmm,129,7.917,2.599,1.5755,-0.040833333,2.006,5.627,0.369,2.1015,5.968,0.778,0.376,0.607,4.895,0.387,0.542,8.2385,1.564,3.428666667,-0.005949292,0.005949271,-0.001842874,-0.001842874,-0.010377344,0.010377324,0.013385944,0.013385924,0.005949282,0.001842874,0.010377334,0.013385934,0.006228173,0.016937305,9.145335145,2.178423487,0,0.11138,0.62849,0.192155,0.65551,0.0053,0,1
Comp_9,BaSnMnNiO6_L,Ba,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.81,0.53,0.69,0.67,0.61,0.728862974,-135.468,4.62848666,5.181285,5.379873,8.38648,90,91.280838,90,233.711846,P21,4,P4/nmm,129,9.637,2.681,1.7185,0.063083333,2.011,5.618,0.3995,1.107,1.4695,0.575,0.363,0.566,4.8925,0.381,0.484,8.239,1.569666667,3.432833333,-0.011355652,0.011355632,-0.02081439,-0.02081439,0.020344929,-0.020344949,0.074467006,0.074466986,0.011355642,0.02081439,0.020344939,0.074466996,0.023710534,0.077196179,22.29828621,24.0158606,0,1.38982,1.53996,0.53078,1.41731,0.06669,0,1
Comp_10,BaSnMnNiO6_R,Ba,Sn,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.81,0.53,0.69,0.67,0.61,0.728862974,-135.376,4.57659288,5.377314,5.433235,7.795218,89.998451,89.561584,89.998375,227.740054,Pc,7,F-4 3m,216,9.691,2.74,1.748,0.053916667,2.012,5.646,0.416,1.146,1.541,0.568,0.342,0.528,4.848,0.346,0.428,8.162,1.566166667,3.422,0.000316274,0.000303885,-0.003547466,-0.003547466,-0.031374436,-0.031356375,-0.042849332,0.042832441,0.00031008,0.003547466,0.031365405,0.042840886,0.003560992,0.053095482,69.95110304,24.3981929,0,1.7362,0.9358,5.2985,0,0,0.16465,2
Comp_11,BaTbMnNiO6_R,Ba,Tb,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.88,0.53,0.69,1.15,0.61,0.902058136,-134.8607192,3.13843396,5.425473,5.527123,7.630313,90.001213,90.257225,90.003967,228.809887,Pc,7,F-4 3m,216,7.927,2.5275,1.66,-0.042333333,2.012,5.633,0.423,0.256,6.5655,1.2145,0.368,0.593,4.866,0.366,0.484,8.194,1.5645,3.425166667,0.00114184,0.001191735,-0.011303317,-0.011303317,0.015283408,0.015438001,-0.053614888,0.053595257,0.001166788,0.011303317,0.015360705,0.053605073,0.011363378,0.055762488,7.730231075,5.337322779,0,0.5788,1.2246,0.3366,0,0,0.1248,2
Comp_12,BaZrMnNiO6_R,Ba,Zr,Mn,Ni,2,4,8,8,4,2,6,6,1.42,0.84,0.53,0.69,1.13,0.61,0.894841671,-138.7651969,4.17026663,5.362268,5.563664,7.627203,90.037552,90.857399,89.985069,227.523336,Pc,7,F-4 3m,216,9.717,2.754,1.7425,0.0505,2.012,5.649,0.4255,0.48,0.696,2.3125,0.343,0.5335,4.854,0.348,0.4375,8.1735,1.56325,3.4445,-0.001114235,-0.001641448,-0.02284152,-0.02284152,0.034403674,0.033770182,-0.055918647,0.056092167,0.001377842,0.02284152,0.034086928,0.056005407,0.022883039,0.065563132,12.81600424,2.683500772,0,0.5787,1.9035,0.5125,0,0,0.13865,2
Comp_13,BiCaMnNiO6_C,Bi,Ca,Mn,Ni,3,2,8,8,4,3,6,6,1.17,1.12,0.53,0.69,0.825,0.61,0.784790578,-127.434828,4.82137409,5.269406,5.479347,7.527122,89.923256,89.828056,90.27887,217.326103,P-1,2,P42/mmc,131,8.257,2.6155,1.709,-0.024333333,1.761,1.407,0.347,2.033,5.872,0.286,0.3685,0.5975,4.879,0.3655,0.485,8.216,1.566833333,3.4205,-0.020124562,0.020124562,-0.067080659,-0.067080659,0.014928438,-0.014928479,-0.057740831,0.05774079,0.020124562,0.067080659,0.014928458,0.05774081,0.070034369,0.059639417,15.51010026,18.23295444,0.04659,1.01354,0,2.07243,0,0.15859,0,0
Comp_14,BiCaMnNiO6_L,Bi,Ca,Mn,Ni,3,2,8,8,4,3,6,6,1.17,1.12,0.53,0.69,0.825,0.61,0.784790578,-127.127937,4.66289701,5.278728,5.48777,7.507977,90,89.813339,90,217.493231,P21,4,P4/nmm,129,8.115,2.57,1.7105,-0.027666667,1.775,1.3705,0.333,2.032,5.869,0.2865,0.3725,0.601,4.8895,0.368,0.489,8.2165,1.567166667,3.4195,-0.010236894,0.010236874,-0.064968009,-0.064968009,0.009137269,-0.009137289,0.055266726,0.055266706,0.010236884,0.064968009,0.009137279,0.055266716,0.065769567,0.05601696,14.5318315,24.20039825,0,1.18067,1.40131,0.907785,0.35108,0.04243,0,1
Comp_15,BiMgMnNiO6_C,Bi,Mg,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.89,0.53,0.69,0.71,0.61,0.743295904,-124.042465,5.32695167,5.152399,5.352338,7.51077,90.346558,89.921654,91.292145,207.070742,P-1,2,P42/mmc,131,8.307,2.617,1.7195,-0.020333333,1.758,1.45,0.377,0.129,0.131,0,0.3705,0.6015,4.8805,0.3675,0.486,8.221,1.565833333,3.428166667,-0.016840961,0.016840961,-0.068860563,-0.068860563,0.008546889,-0.00854693,-0.046522815,0.046522775,0.016840961,0.068860563,0.00854691,0.046522795,0.070890021,0.047301376,19.73905133,23.08984092,0.05782,1.3048,0,2.05444,0,0.1589,0,0
Comp_16,BiSnMnNiO6_C,Bi,Sn,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.81,0.53,0.69,0.67,0.61,0.728862974,-124.864875,6.92898329,5.336612,5.447929,7.610425,92.153053,89.457626,92.471413,220.892885,P-1,2,P42/mmc,131,7.806,1.9175,1.7195,0.0405,1.869,1.315,0.274,1.167,1.581,0.609,0.3115,0.4635,4.963,0.3565,0.4545,8.2205,1.567,3.425333333,-0.010742467,0.010742467,-0.057772981,-0.057772981,0.007911017,-0.007911057,-0.055019754,0.055019714,0.010742467,0.057772981,0.007911037,0.055019734,0.058763236,0.05558557,21.00974369,22.79571049,0.32991,1.34947,0,2.10649,0,0.351335,0,0
Comp_17,BiSnMnNiO6_L,Bi,Sn,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.81,0.53,0.69,0.67,0.61,0.728862974,-124.575506,6.99416507,5.252862,5.490968,7.583699,90,89.670219,90,218.735295,P21,4,P4/nmm,129,8.299,2.416,1.7375,0.021333333,1.875,1.3005,0.2625,1.33,1.2165,0.4045,0.349,0.552,4.934,0.356,0.463,8.215,1.5715,3.41,-0.013277373,0.013277353,-0.053098339,-0.053098339,0.015588288,-0.015588308,0.06589745,0.06589743,0.013277363,0.053098339,0.015588298,0.06589744,0.054733189,0.067716081,19.9638625,22.96442264,0,1.23893,1.66479,0.806725,0.43029,0.07583,0,1
Comp_18,BiZnMnNiO6_C,Bi,Zn,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.9,0.53,0.69,0.715,0.61,0.74510002,-118.350144,4.63888943,5.190331,5.292397,7.57185,90.243454,90.058487,92.717575,207.757405,P-1,2,P42/mmc,131,8.358,2.6125,1.7215,-0.0185,1.759,1.422,0.364,0.428,0.418,9.876,0.369,0.596,4.874,0.366,0.479,8.212,1.5675,3.411666667,-0.015777047,0.015777047,-0.063643923,-0.063643923,-0.008052348,0.008052308,-0.0274715,0.027471459,0.015777047,0.063643923,0.008052328,0.027471479,0.065570299,0.028627298,18.18936438,24.2386746,0.04395,1.44995,0,1.94512,0,0.170565,0,0
Comp_19,BiZnMnNiO6_L,Bi,Zn,Mn,Ni,3,2,8,8,4,3,6,6,1.17,0.9,0.53,0.69,0.715,0.61,0.74510002,-117.92224,4.67881327,5.2636,5.309097,7.434524,90,89.853683,90,207.756828,P21,4,P4/nmm,129,8.103,2.6135,1.73,-0.037416667,1.7575,1.4675,0.385,0.415,0.392,9.8725,0.364,0.576,4.8675,0.36,0.4625,8.198,1.56825,3.408583333,-0.017619269,0.017619249,-0.057354357,-0.057354357,-0.024409255,0.024409234,0.022875308,0.022875287,0.017619259,0.057354357,0.024409245,0.022875298,0.059999671,0.033452809,22.52500063,32.05148532,0,1.45737,1.70766,0.89642,0.37407,0.03648,0,1
Comp_20,CaCeMnNiO6_R,Ca,Ce,Mn,Ni,2,4,8,8,4,2,6,6,1.12,0.97,0.53,0.69,1.045,0.61,0.864171694,-145.874466,5.12122428,5.260381,5.469502,7.500923,90.002045,89.822502,90.00415,215.813034,Pc,4,P4/nmm,129,9.701,2.706,1.7265,0.056833333,2.032,5.873,0.294,1.966,5.628,0.753,0.365,0.595,4.888,0.369,0.4985,8.233,1.560833333,3.449416667,-0.013949245,-0.014009435,-0.0588433,-0.0588433,0.017188757,0.017230439,-0.062845331,0.062865749,0.01397934,0.0588433,0.017209598,0.06285554,0.060481038,0.065168928,15.00043758,20.17819524,0,1.1255,1.5566,5.3339,0,0,0.13095,2
