Index,MagpieData minimum Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData range AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData mean Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData mean CovalentRadius,MagpieData mode CovalentRadius,MagpieData maximum Electronegativity,MagpieData mode Electronegativity,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData mean NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData mean GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,std_dev oxidation state,avg anion electron affinity,compound possible,max ionic char,avg ionic char,density,vpa,packing fraction,spacegroup_num,sine coulomb matrix eig 3,sine coulomb matrix eig 5,sine coulomb matrix eig 7,sine coulomb matrix eig 8,sine coulomb matrix eig 9,sine coulomb matrix eig 10,sine coulomb matrix eig 11,sine coulomb matrix eig 12,sine coulomb matrix eig 13,sine coulomb matrix eig 14,sine coulomb matrix eig 15,sine coulomb matrix eig 16,sine coulomb matrix eig 17,sine coulomb matrix eig 18,sine coulomb matrix eig 19,structural complexity per atom,crystal_system_triclinic,target_label,Compound name
Comp_0,8.0,8.0,9.0,87.0,65.9,87.0,15.9994,124.11660000000002,39.249221399999996,15.9994,54.8,611.856,54.8,16.0,14.0,11.8,16.0,2.0,6.0,3.2,2.0,66.0,215.0,107.8,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,0.1,0.0,2.0,8.0,5.9,1.1599999999999997,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.24,0.0,0.0,2.3400000000000003,0.0,0.0,22.0,4.1,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,93.7,98.04,12.0,-2.0,3.278719262151,-282000.0,1,0.8032113561415081,0.16025451206139188,7.049031493338261,11.473919035384302,0.8312793864517478,2,8304.163808703466,1449.2772326148338,1103.5531717006058,108.7066212512273,60.08695795064283,73.86515608059938,71.52420364018714,71.29096868151817,69.78232218945917,64.97096837732119,68.86372784227751,65.9051953133703,67.76653953429829,66.66481203162152,67.31206732126304,3.521928094887362,1,0,BaCeMnNiO6_C
Comp_1,8.0,8.0,9.0,87.0,65.9,87.0,15.9994,124.11660000000002,39.249221399999996,15.9994,54.8,611.856,54.8,16.0,14.0,11.8,16.0,2.0,6.0,3.2,2.0,66.0,215.0,107.8,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,0.1,0.0,2.0,8.0,5.9,1.1599999999999997,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.24,0.0,0.0,2.3400000000000003,0.0,0.0,22.0,4.1,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,93.7,98.04,12.0,-2.0,3.278719262151,-282000.0,1,0.8032113561415081,0.16025451206139188,6.995589957417583,11.561571951008705,0.8249771239021815,4,8309.628178518966,1449.5222209492124,1103.6930414109377,109.38669440614738,59.23980643565307,74.18286263849595,65.20934033783149,66.12026006466643,67.37619961295307,67.54506568898134,67.64366948067916,68.90889692752697,70.66787135333159,70.31938394319714,70.30919088891109,3.321928094887362,0,1,BaCeMnNiO6_L
Comp_2,8.0,8.0,9.0,87.0,65.9,87.0,15.9994,124.11660000000002,39.249221399999996,15.9994,54.8,611.856,54.8,16.0,14.0,11.8,16.0,2.0,6.0,3.2,2.0,66.0,215.0,107.8,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,0.1,0.0,2.0,8.0,5.9,1.1599999999999997,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.24,0.0,0.0,2.3400000000000003,0.0,0.0,22.0,4.1,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,93.7,98.04,12.0,-2.0,3.278719262151,-282000.0,1,0.8032113561415081,0.16025451206139188,6.92579227816855,11.678088713025215,0.8167460112966091,7,8368.156003527343,1449.374174229848,1103.7283168597203,108.31464470469467,60.356350790829765,73.99156332173449,71.3740420144855,70.5789810265107,70.72155264227273,65.05309443400309,65.89105216350885,68.21870434405606,67.58954451165702,67.41873806566404,67.3270507612709,3.321928094887362,0,2,BaCeMnNiO6_R
Comp_3,8.0,8.0,9.0,87.0,68.9,87.0,15.9994,162.4906,43.8541014,15.9994,54.8,784.056,54.8,16.0,14.0,11.9,16.0,2.0,6.0,3.2,2.0,66.0,215.0,104.9,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,1.4,0.0,2.0,16.0,7.3,2.6799999999999997,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,8.0,2.7,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,93.7,98.04,12.0,-2.0,3.265986323710904,-282000.0,1,0.8032113561415081,0.15620931343814862,7.638590737403556,11.422547986419046,0.7393884989863664,4,7629.2738345336165,1448.7772754237071,1102.9178228396281,110.71833504730327,59.463403190575775,74.02534529330582,71.19852400367137,70.69351363986178,65.64509133060561,68.8765269611393,68.82372449906342,67.24852595961607,66.81896331445054,66.93398871517756,67.00833903136167,3.321928094887362,0,1,BaHfMnNiO6_L
Comp_4,8.0,8.0,9.0,87.0,68.9,87.0,15.9994,162.4906,43.8541014,15.9994,54.8,784.056,54.8,16.0,14.0,11.9,16.0,2.0,6.0,3.2,2.0,66.0,215.0,104.9,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,1.4,0.0,2.0,16.0,7.3,2.6799999999999997,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,8.0,2.7,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,93.7,98.04,12.0,-2.0,3.265986323710904,-282000.0,1,0.8032113561415081,0.15620931343814862,7.638590737403556,11.422547986419046,0.7393884989863664,4,7629.2738345336165,1448.7772754237071,1102.9178228396281,110.71833504730327,59.463403190575775,74.02534529330582,71.19852400367137,70.69351363986178,65.64509133060561,68.8765269611393,68.82372449906342,67.24852595961607,66.81896331445054,66.93398871517756,67.00833903136167,3.321928094887362,0,1,BaHfMnNiO6_L
Comp_5,8.0,8.0,9.0,87.0,68.9,87.0,15.9994,162.4906,43.8541014,15.9994,54.8,784.056,54.8,16.0,14.0,11.9,16.0,2.0,6.0,3.2,2.0,66.0,215.0,104.9,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,1.4,0.0,2.0,16.0,7.3,2.6799999999999997,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,8.0,2.7,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,93.7,98.04,12.0,-2.0,3.265986323710904,-282000.0,1,0.8032113561415081,0.15620931343814862,7.733688702203978,11.282089647821316,0.7485936447871667,7,7693.262646514718,1449.164212075558,1103.5048738452335,109.6384440023309,60.35845591430806,74.65182638069908,72.91122736579702,64.6186474522147,70.37283888609925,70.27937709270988,65.32067695860778,67.47315231225159,66.95345870307038,66.7448128762109,68.12660714633219,3.321928094887362,0,2,BaHfMnNiO6_R
Comp_6,8.0,8.0,9.0,87.0,68.9,87.0,15.9994,162.4906,43.8541014,15.9994,54.8,784.056,54.8,16.0,14.0,11.9,16.0,2.0,6.0,3.2,2.0,66.0,215.0,104.9,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,1.4,0.0,2.0,16.0,7.3,2.6799999999999997,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,8.0,2.7,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,93.7,98.04,12.0,-2.0,3.265986323710904,-282000.0,1,0.8032113561415081,0.15620931343814862,7.733688702203978,11.282089647821316,0.7485936447871667,7,7693.262646514718,1449.164212075558,1103.5048738452335,109.6384440023309,60.35845591430806,74.65182638069908,72.91122736579702,64.6186474522147,70.37283888609925,70.27937709270988,65.32067695860778,67.47315231225159,66.95345870307038,66.7448128762109,68.12660714633219,3.321928094887362,0,2,BaHfMnNiO6_R
Comp_7,8.0,8.0,9.0,87.0,72.5,87.0,15.9994,191.20059999999998,47.3947893,15.9994,54.8,555.4092,54.8,16.0,14.0,12.9,16.0,2.0,6.0,3.2,2.0,66.0,215.0,102.0,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.6,4.0,0.0,0.0,0.0,1.4,0.0,2.0,26.0,8.3,4.28,6.0,0.0,0.0,0.0,0.9599999999999997,2.0,0.0,1.1199999999999999,0.0,0.0,0.0,0.0,0.0,5.0,2.3,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,96.8,101.75999999999999,12.0,-2.0,3.3166247903554,-282000.0,1,0.8032113561415081,0.135643638938878,7.8828662398781555,11.673365259111524,0.7991482951365027,7,7694.943861784655,1449.6517127210388,1103.8760133769908,109.42167246450134,60.16016143087201,74.65174717400211,71.84722923720784,70.69161680543323,70.33264882420828,65.17002710442068,65.28489498560293,68.24014604526896,67.58598404301797,67.20958348215018,67.35429140038569,3.321928094887362,0,2,BaPbMnNiO6_R
Comp_8,8.0,8.0,9.0,87.0,66.7,87.0,15.9994,134.3606,40.478501400000006,15.9994,54.8,644.7360000000001,54.8,16.0,14.0,11.8,16.0,2.0,6.0,3.2,2.0,66.0,215.0,107.2,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.4,4.0,0.0,0.0,0.0,0.6,0.0,2.0,8.0,6.3,1.22,6.0,0.0,0.0,0.0,0.9600000000000002,2.0,0.0,1.1199999999999999,0.0,0.0,1.4400000000000002,0.0,0.0,8.0,2.7,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,90.9,94.67999999999999,12.0,-2.0,3.3166247903554,-282000.0,1,0.8032113561415081,0.1591322773259398,7.251312652221324,11.388430869404724,0.8375194515651347,4,7627.710662891466,1449.310081817383,1103.5862026414088,109.49791296804241,58.58297507528618,73.83767800704746,65.8699065742802,65.06626892049655,70.89273473531456,70.27656193679246,70.60162371305434,68.98244113053936,67.5960364733356,67.67305875041721,67.65333669286721,3.321928094887362,0,1,BaSmMnNiO6_L
Comp_9,8.0,8.0,9.0,87.0,72.4,87.0,15.9994,121.3276,36.6805014,15.9994,54.8,544.5472,54.8,16.0,14.0,12.9,16.0,2.0,6.0,3.1,2.0,66.0,215.0,101.3,66.0,3.44,3.44,2.0,2.0,2.0,0.0,4.0,4.0,2.6,4.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,6.9,2.06,6.0,0.0,0.0,0.0,0.9599999999999997,2.0,0.0,1.1199999999999999,0.0,0.0,0.0,0.0,0.0,5.0,2.3,2.0,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595704820689655,0.0,12.0,88.4,91.67999999999999,12.0,-2.0,3.265986323710904,-282000.0,1,0.8032113561415081,0.14205647238833188,6.617162944086316,11.685592052040708,0.6985399212421083,4,5797.93344954854,1448.8516584554636,1103.6809645451438,108.29814125867267,75.54962604253068,61.211321944406365,71.099847289043,70.1110478454742,70.21931434101016,65.10819321168798,65.97371964043187,66.23419672467853,67.45816572297387,67.26580395032077,67.1992600348041,3.321928094887362,0,1,BaSnMnNiO6_L
